entity_name,entity_type,source,uscc
苏州赛分科技股份有限公司,股票,688758,913205946865754144
华明电力装备股份有限公司,股票,002270,91370100742413648L
苏州赛伍应用技术股份有限公司,股票,603212,913205096770234824
海创药业股份有限公司,股票,688302,915101000624182263
吉安满坤科技股份有限公司,股票,301132,91360805672429045F
甘肃国芳工贸(集团)股份有限公司,股票,601086,91620000224367434N
浙江伟星实业发展股份有限公司,股票,002003,91330000722765769J
中煤新集能源股份有限公司,股票,601918,913404007109235209
杭州华光焊接新材料股份有限公司,股票,688379,91330100143200149A
深圳市力合微电子股份有限公司,股票,688589,9144030074123041XA
深圳威迈斯新能源(集团)股份有限公司,股票,688612,91440300775566106A
无锡先导智能装备股份有限公司,股票,300450,91320200735716149R
福建闽东电力集团股份有限公司,股票,000993,91350000705100343U
